rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B4,1,300,lam=300,False,X_prior_composite,9,0,0
B4,1,1000,lam=1000,False,phase1_backbone,88,0.13214942814960792,0.014087176373740339
B4,1,1000,lam=1000,False,C_context,20,0.060356173799577847,0.013496050747764783
B4,1,1000,lam=1000,False,X_prior_composite,9,0,0
B4,1,3000,lam=3000,True,phase1_backbone,88,0.073607044860032,0.007846537346489187
B4,1,3000,lam=3000,True,C_context,20,0.023337006971868707,0.0052183133980484948
B4,1,3000,lam=3000,True,X_prior_composite,9,0,0
B4,1,10000,lam=10000,False,phase1_backbone,88,0.030778625481895631,0.003281012500590597
B4,1,10000,lam=10000,False,C_context,20,0.0074664106148662314,0.0016695401682766894
B4,1,10000,lam=10000,False,X_prior_composite,9,0,0
B4,2,100,lam=100,False,phase1_backbone,88,0.40664311580043211,0.043348301794864784
B4,2,100,lam=100,False,C_context,20,0.24724426799945318,0.055285499029395321
B4,2,100,lam=100,False,X_prior_composite,9,0.13686529673660353,0.045621765578867844
B4,2,300,lam=300,False,phase1_backbone,88,0.25421613843639246,0.027099531411897949
B4,2,300,lam=300,False,C_context,20,0.14694591312361396,0.032858105076017927
B4,2,300,lam=300,False,X_prior_composite,9,0.070624676758105867,0.023541558919368624
B4,2,1000,lam=1000,True,phase1_backbone,88,0.15612036020661643,0.016642486316873279
B4,2,1000,lam=1000,True,C_context,20,0.065471184105409683,0.014639801822709979
B4,2,1000,lam=1000,True,X_prior_composite,9,0.034602427991485891,0.01153414266382863
B4,2,3000,lam=3000,False,phase1_backbone,88,0.098923940941519461,0.010545327536726025
B4,2,3000,lam=3000,False,C_context,20,0.026257900414580277,0.005871445027342141
B4,2,3000,lam=3000,False,X_prior_composite,9,0.020006412035489193,0.0066688040118297312
B4,2,10000,lam=10000,False,phase1_backbone,88,0.049755045671963004,0.0053039056897843133
B4,2,10000,lam=10000,False,C_context,20,0.008581349467127292,0.0019188480747178221
B4,2,10000,lam=10000,False,X_prior_composite,9,0.010493823367048688,0.0034979411223495624
B4,3,100,lam=100,False,phase1_backbone,88,0.40920433866522832,0.043621329069625243
