rung,fold,test_season,lambda,lambda_label,is_selected,is_frozen_lambda,design_columns,train_matches,test_matches,newton_iterations,gradient_norm,constant_columns,coef_l2_norm,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap
B4,2,2023-2024,300,lam=300,False,False,117,760,380,6,3.730349362740526e-14,4,0.30200462147528589,0.57105263157894737,0.46783584978706932,0.42330318039014231,0.9662100004749965,0.57120775690621928,0.19875807786282829,0.94611762678006928,0.020092373694927224
B4,2,2023-2024,1000,lam=1000,True,False,117,760,380,5,8.436518150745087e-11,4,0.17279285529822719,0.57631578947368423,0.46867982965543947,0.41559713416834182,0.9628508344190535,0.56918524135302095,0.19920954818208572,0.96700935038056024,-0.0041585159615067369
B4,2,2023-2024,3000,lam=3000,False,False,117,760,380,5,9.5923269327613525e-14,4,0.10428652812380423,0.57631578947368423,0.46545876887340304,0.41325922985311631,0.97352183291937366,0.57671116205892492,0.20356470080244848,0.98794336525735316,-0.014421532337979492
B4,2,2023-2024,10000,lam=10000,False,False,117,760,380,5,1.9184653865522705e-13,4,0.051568638312010001,0.5368421052631579,0.41675571041424703,0.3583203113031222,1.0014953026910602,0.59728330003325758,0.21396235439391023,1.0162231472006429,-0.014727844509582644
B4,3,2024-2025,100,lam=100,False,False,117,1140,380,6,4.6185277824406512e-14,4,0.48418673541597523,0.52368421052631575,0.46054089279895732,0.42079393726140074,1.01512866610756,0.60682841787839914,0.20826013519480396,0.93421911595535656,0.080909550152203469
B4,3,2024-2025,300,lam=300,False,False,117,1140,380,6,6.0396132539608516e-14,4,0.31401833154977016,0.50789473684210529,0.43866080156402737,0.3754446138211382,1.0058481697838677,0.60173550324575897,0.20670792445536676,0.94433502960009963,0.061513140183768078
B4,3,2024-2025,1000,lam=1000,True,False,117,1140,380,5,7.1103212206935495e-10,4,0.19159589082429554,0.50789473684210529,0.43828608667318347,0.37446293108943712,1.0020993960735469,0.59923271980863824,0.20635343744000564,0.95857629416180778,0.043523101911739137
B4,3,2024-2025,3000,lam=3000,False,False,117,1140,380,5,3.3590907833058736e-12,4,0.12458499184727688,0.49736842105263157,0.42781036168132941,0.36363284650353034,1.0085289629927217,0.60294151839395682,0.20865780176191615,0.97427300349550106,0.034255959497220601
B4,3,2024-2025,10000,lam=10000,False,False,117,1140,380,5,2.4158453015843406e-13,4,0.069169534901905638,0.48947368421052634,0.41536331052460085,0.34277022544078828,1.0287311737465752,0.61653454709199595,0.2156380603683869,0.99955944259281693,0.029171731153758262
B4,4,2025-2026,100,lam=100,False,False,117,1520,380,6,7.4495964952348004e-14,2,0.50852794886250852,0.46842105263157896,0.41303876976391596,0.3485647917703667,1.0664768773742239,0.64257810965675743,0.21694067537110345,0.9424360241949189,0.12404085317930502
B4,4,2025-2026,300,lam=300,False,False,117,1520,380,6,6.7501559897209518e-14,2,0.3354767442329189,0.47631578947368419,0.4174788823911631,0.35165456012913637,1.0541721238848059,0.63488885558059771,0.21443355880409457,0.95057107740659785,0.103601046478208
B4,4,2025-2026,1000,lam=1000,True,False,117,1520,380,6,7.815970093361102e-14,2,0.21053111431628832,0.48421052631578948,0.42365172189733591,0.35713097360156182,1.0445259099662569,0.62808263172070022,0.2123629135615322,0.9624507703441596,0.082075139622097337
B4,4,2025-2026,3000,lam=3000,False,False,117,1520,380,5,2.1752377676875767e-11,2,0.13923562853975971,0.49473684210526314,0.43014944769330737,0.36232381546783171,1.0416449717143808,0.62550691096788769,0.21190411802411779,0.97631543060370418,0.06532954111067657
B4,4,2025-2026,10000,lam=10000,False,False,117,1520,380,5,4.2632564145606011e-13,2,0.081076332511353627,0.49210526315789471,0.42029456356941736,0.35080307738812766,1.0484450660216966,0.6296099080176456,0.21434197244362416,0.99909057856632155,0.049354487455375073
B5,1,2022-2023,100,lam=100,False,False,126,380,380,6,5.0626169922907138e-14,47,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730508,0.21538404320977872,0.90740655281932325,0.11258989312348022
B5,1,2022-2023,300,lam=300,False,False,126,380,380,5,1.1650680420416393e-11,47,0.26959955700058913,0.51052631578947372,0.41828760696104544,0.37047524609434007,1.0019052778823845,0.59868823182394204,0.21093881931462546,0.93876563900911014,0.06313963887327434
B5,1,2022-2023,1000,lam=1000,False,False,126,380,380,5,4.4408920985006262e-14,47,0.14528020882416584,0.52894736842105261,0.42645592341443955,0.37269769621138632,0.99993897067164961,0.59681244528410071,0.21050639335862528,0.97373266123864644,0.026206309433003172
B5,1,2022-2023,3000,lam=3000,True,False,126,380,380,5,4.9737991503207013e-14,47,0.077217957415563726,0.51578947368421058,0.3962072862651243,0.34107625941361408,1.013298528374986,0.60575843570098376,0.2149715802340085,1.0067211041473385,0.0065774242276475103
B5,1,2022-2023,10000,lam=10000,False,False,126,380,380,5,1.0658141036401503e-13,47,0.031671297321464155,0.49473684210526314,0.34805876878074721,0.2534111922141119,1.0339160881911271,0.62091090785423353,0.22237047549960196,1.0394000443451805,-0.0054839561540533932
