match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
1235,-1.4000000000000001,0.79999999999999993,-2.2000000000000002,True,True,True,10,10
1236,-1.4000000000000001,1.6000000000000001,-3,True,True,True,10,10
1237,2.2000000000000002,-1,3.2000000000000002,True,True,True,10,10
1238,1.0000000000000002,-0.60000000000000009,1.6000000000000003,True,True,True,10,10
1239,0.40000000000000002,-0.59999999999999998,1,True,True,True,10,10
1240,-2,-0.20000000000000007,-1.7999999999999998,True,True,True,11,11
1241,-1,2.3999999999999999,-3.3999999999999999,True,True,True,11,11
1242,2.2000000000000002,1.2,1.0000000000000002,True,True,True,11,11
1243,1,-0.60000000000000009,1.6000000000000001,True,True,True,11,11
1244,0.80000000000000004,0.99999999999999989,-0.19999999999999984,True,True,True,11,11
1245,-1.9999999999999998,-1.6000000000000001,-0.39999999999999969,True,True,True,11,11
1246,-0.20000000000000001,1.8,-2,True,True,True,11,11
1247,2,-2.8000000000000003,4.8000000000000007,True,True,True,11,11
1248,0.39999999999999991,0,0.39999999999999991,True,True,True,11,11
1249,1,-3.3999999999999995,4.3999999999999995,True,True,True,11,11
1250,-0.39999999999999997,0.19999999999999996,-0.59999999999999987,True,True,True,12,12
1251,-0.40000000000000002,1.3999999999999999,-1.7999999999999998,True,True,True,12,12
1252,-0.80000000000000004,-1.6000000000000001,0.80000000000000004,True,True,True,12,12
1253,1.4000000000000001,-1.6000000000000001,3,True,True,True,12,12
1254,1.2,-1.2,2.3999999999999999,True,True,True,12,12
1255,0.39999999999999997,-0.20000000000000001,0.59999999999999998,True,True,True,12,12
1256,2.5999999999999996,0.59999999999999998,1.9999999999999996,True,True,True,12,12
1257,-4.4000000000000004,2,-6.4000000000000004,True,True,True,12,12
1258,-1.7999999999999998,0.80000000000000004,-2.5999999999999996,True,True,True,12,12
1259,0.60000000000000009,1.2000000000000002,-0.60000000000000009,True,True,True,12,12
1260,-2,-2.4000000000000004,0.40000000000000036,True,True,True,13,13
1261,-3,-0.39999999999999991,-2.6000000000000001,True,True,True,13,13
1262,1.2000000000000002,0,1.2000000000000002,True,True,True,13,13
1263,-0.80000000000000004,-2.3999999999999999,1.5999999999999999,True,True,True,13,13
1264,0,0,0,True,True,True,13,13
1265,-0.60000000000000009,-0.60000000000000009,0,True,True,True,13,13
1266,1,0,1,True,True,True,13,13
1267,2.2000000000000002,2.6000000000000001,-0.39999999999999991,True,True,True,13,13
1268,1,2.1999999999999997,-1.1999999999999997,True,True,True,13,13
1269,0.19999999999999996,1.7999999999999998,-1.5999999999999999,True,True,True,13,13
1270,-1.8,1.5999999999999999,-3.3999999999999999,True,True,True,14,14
1271,0.40000000000000013,0.19999999999999996,0.20000000000000018,True,True,True,14,14
1272,0,-0.79999999999999993,0.79999999999999993,True,True,True,14,14
1273,0,-1.3999999999999999,1.3999999999999999,True,True,True,14,14
1274,1.6000000000000001,-0.39999999999999997,2,True,True,True,14,14
1275,1.2,-0.20000000000000001,1.3999999999999999,True,True,True,14,14
1276,-1.2,2.4000000000000004,-3.6000000000000005,True,True,True,14,14
1277,-3.8000000000000003,1.6000000000000001,-5.4000000000000004,True,True,True,14,14
1278,-0.20000000000000001,-0.40000000000000002,0.20000000000000001,True,True,True,14,14
1279,2.2000000000000002,-1,3.2000000000000002,True,True,True,14,14
1280,0.39999999999999991,-3.7999999999999998,4.1999999999999993,True,True,True,15,15
1281,-3.4000000000000004,-0.40000000000000002,-3.0000000000000004,True,True,True,15,15
1282,1.2,0.40000000000000002,0.79999999999999993,True,True,True,15,15
1283,-1.8,-0.80000000000000004,-1,True,True,True,15,15
