rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B2,4,3,lam=3,False,phase1_backbone,88,1.6729766629183445,0.17833991149020481
B2,4,3,lam=3,False,C_context,20,0.36793545758389562,0.082272869449008107
B2,4,10,lam=10,False,phase1_backbone,88,1.0289323232498311,0.10968455419915325
B2,4,10,lam=10,False,C_context,20,0.29076907242982569,0.065017941170765023
B2,4,30,lam=30,False,phase1_backbone,88,0.67697741856089688,0.072166035296877568
B2,4,30,lam=30,False,C_context,20,0.26110236785396657,0.058384264360762508
B2,4,100,lam=100,True,phase1_backbone,88,0.43604158701726281,0.046482189356458835
B2,4,100,lam=100,True,C_context,20,0.20945409722128125,0.046835359955263466
B3,1,0.01,lam=0.01,False,phase1_backbone,88,5.3205084999131556,0.56716811177879944
B3,1,0.01,lam=0.01,False,C_context,20,2.4894267454524548,0.55665274278377541
B3,1,0.01,lam=0.01,False,X_prior_composite,6,0,0
B3,1,0.029999999999999999,lam=0.03,False,phase1_backbone,88,5.0037035813343707,0.53339659398581063
B3,1,0.029999999999999999,lam=0.03,False,C_context,20,2.2499940210807878,0.50311395801047365
B3,1,0.029999999999999999,lam=0.03,False,X_prior_composite,6,0,0
B3,1,0.10000000000000001,lam=0.1,False,phase1_backbone,88,4.3064222904815841,0.45906615863022121
B3,1,0.10000000000000001,lam=0.1,False,C_context,20,1.7468515215151634,0.39060787487068416
B3,1,0.10000000000000001,lam=0.1,False,X_prior_composite,6,0,0
B3,1,0.29999999999999999,lam=0.3,False,phase1_backbone,88,3.4221629955755799,0.36480380107118765
B3,1,0.29999999999999999,lam=0.3,False,C_context,20,1.1924480401436675,0.26663948773976381
B3,1,0.29999999999999999,lam=0.3,False,X_prior_composite,6,0,0
B3,1,1,lam=1,False,phase1_backbone,88,2.4435083472447525,0.26047886502674744
B3,1,1,lam=1,False,C_context,20,0.80317191673558819,0.17959470034395761
B3,1,1,lam=1,False,X_prior_composite,6,0,0
B3,1,3,lam=3,False,phase1_backbone,88,1.6856137024577338,0.1796870244314108
B3,1,3,lam=3,False,C_context,20,0.65529999722443633,0.14652953394492629
B3,1,3,lam=3,False,X_prior_composite,6,0,0
B3,1,10,lam=10,False,phase1_backbone,88,1.0557527401453968,0.1125436202466986
