rung,fold,column,block,beta_home,beta_draw,beta_away,beta_l2,train_centre,train_scale,selected_lambda
D4,3,away_is_season_opener,C_context,0.0014486865811762751,-0.0025749887814448132,0.0011263022002685394,0.0031619324283381832,0,1,1000
D4,3,rel_rest_days_diff,C_context,-0.0063627205022059857,-0.0031934872805824241,0.0095562077827884076,0.011916529712473336,-0.037837837837837777,2.6695835161751429,1000
D4,3,rel_matches_last14_diff,C_context,0.0077655432544826847,0.012862809702371272,-0.02062835295685397,0.025520275883877196,0.0043859649122807015,0.62896327269524333,1000
D4,3,days_since_season_start,C_context,0.001875833080418625,-0.0022751149118601646,0.00039928183144154352,0.0029756215466151988,151.11140350877193,87.417102845838926,1000
D4,3,rel_context_available,C_context,-0.0014486865811762729,0.0025749887814448136,-0.0011263022002685323,0.0031619324283381801,0,1,1000
D4,3,home_prior_attack,X_prior_composite,0.0092353693752725997,-0.0029029862035999322,-0.0063323831716726644,0.011567992610167839,0.14993822384192904,0.72435367625612301,1000
D4,3,home_prior_finishing,X_prior_composite,0.0034424715364369781,-0.010074206278282339,0.0066317347418453623,0.012542732880148602,0.12554499044370815,0.67044408613987239,1000
D4,3,home_prior_defence,X_prior_composite,0.010113502020030833,0.0024389093881181877,-0.01255241140814903,0.016303197056775357,0.16852049303776637,0.68098082941145366,1000
D4,3,home_prior_keeping,X_prior_composite,0.0059525066916607762,-0.005217676637145883,-0.00073483005451488708,0.0079496201552717374,0.22511119741856531,0.54440542826265215,1000
D4,3,home_prior_control,X_prior_composite,0.0082714482268833444,-0.00079487689655699447,-0.0074765713303263596,0.011178005363576713,0.1166139537776526,0.56521146284112311,1000
D4,3,home_prior_discipline,X_prior_composite,0.013395046004663019,-0.019917420860920427,0.0065223748562574149,0.024873123748005713,-0.0017027430030059092,0.67679307541674472,1000
D4,3,home_prior_rotation,X_prior_composite,0.0041489083831474432,0.0015612603511313086,-0.0057101687342787644,0.0072289004440302352,-0.022929293405066629,0.43959313850209636,1000
D4,3,home_prior_venue_split,X_prior_composite,-0.0022549499484466498,-0.0047835671479161922,0.0070385170963628329,0.0088038648810857198,0.10620763689958446,0.73825997891585449,1000
D4,3,away_prior_attack,X_prior_composite,-0.0032720323291116006,-7.7103266693938509e-05,0.0033491355958055365,0.0046828249717001027,0.14993822384192901,0.72435367625612301,1000
D4,3,away_prior_finishing,X_prior_composite,0.0024957970632351481,-0.0030227921507923897,0.00052699508755723603,0.0039552495736748057,0.12554499044370834,0.67044408613987228,1000
D4,3,away_prior_defence,X_prior_composite,-0.0087451876206750094,0.0012370497450815013,0.0075081378755934812,0.011592270396757273,0.16852049303776634,0.68098082941145377,1000
D4,3,away_prior_keeping,X_prior_composite,0.011625887384210455,-0.0052017533887612948,-0.0064241339954491661,0.014264956830615336,0.22511119741856525,0.54440542826265215,1000
D4,3,away_prior_control,X_prior_composite,-0.0014878540784113679,-0.0027092620796811966,0.0041971161580925597,0.0052124461454834689,0.11661395377765257,0.56521146284112311,1000
D4,3,away_prior_discipline,X_prior_composite,-0.011266637316618745,0.016125352333143182,-0.0048587150165244298,0.020262556993233413,-0.0017027430030058851,0.67679307541674483,1000
D4,3,away_prior_rotation,X_prior_composite,0.0021727954032765579,0.0099104834962243562,-0.012083278899500925,0.015777970463800448,-0.022929293405066626,0.4395931385020963,1000
