model,scope,class,bin,bin_lo,bin_hi,n,mean_predicted,observed_frequency,thin
dc_walkforward,pooled,A,8,0.80000000000000004,0.90000000000000002,15,0.83257445449140699,0.53333333333333333,True
dc_walkforward,pooled,A,9,0.90000000000000002,1,3,0.911878989170542,0.66666666666666663,True
dc_walkforward,pooled,pooled,0,0,0.10000000000000001,215,0.065719694313111671,0.11627906976744186,False
dc_walkforward,pooled,pooled,1,0.10000000000000001,0.20000000000000001,793,0.15811117296124569,0.17023959646910466,False
dc_walkforward,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1545,0.24872163325679317,0.258252427184466,False
dc_walkforward,pooled,pooled,3,0.29999999999999999,0.40000000000000002,667,0.34478950253284857,0.34932533733133431,False
dc_walkforward,pooled,pooled,4,0.40000000000000002,0.5,490,0.44746898996269951,0.42040816326530611,False
dc_walkforward,pooled,pooled,5,0.5,0.59999999999999998,346,0.54610459813549628,0.54046242774566478,False
dc_walkforward,pooled,pooled,6,0.59999999999999998,0.69999999999999996,281,0.64666919444320858,0.63345195729537362,False
dc_walkforward,pooled,pooled,7,0.69999999999999996,0.80000000000000004,136,0.74878085453095378,0.63970588235294112,False
dc_walkforward,pooled,pooled,8,0.80000000000000004,0.90000000000000002,70,0.83874244186362379,0.81428571428571428,False
dc_walkforward,pooled,pooled,9,0.90000000000000002,1,17,0.92743395126166017,0.76470588235294112,True
D1,pooled,H,0,0,0.10000000000000001,5,0.07963373115553174,0.20000000000000001,True
