rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B0,2,3,0.029999999999999999,lam=0.03,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,0.10000000000000001,lam=0.1,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,0.10000000000000001,lam=0.1,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,0.10000000000000001,lam=0.1,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,0.29999999999999999,lam=0.3,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,0.29999999999999999,lam=0.3,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,0.29999999999999999,lam=0.3,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,1,lam=1,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,1,lam=1,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,1,lam=1,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,3,lam=3,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,3,lam=3,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,3,lam=3,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,10,lam=10,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,10,lam=10,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
