season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2022-2023,2022-08-21,Leeds United,Chelsea,H,1.799042822619163,1.9271922671377049,1.8136562288995099,0.12814944451854182,0.014613406280346908,0.032489333748919047,0.6342525399129173,0.60-0.70,3,MW 1-6,neither promoted,A,favourite did not
2024-2025,2024-12-15,Manchester City,Manchester Utd,A,1.799042822619163,1.6901722551709677,1.8667782050605555,-0.10887056744819534,0.067735382441392433,-0.050259156936574234,0.6342525399129173,0.60-0.70,16,MW 7-19,neither promoted,H,favourite did not
2023-2024,2023-10-23,Tottenham,Fulham,H,0.45494516537153418,0.44659950948568528,0.40448215483159716,-0.0083456558858489016,-0.050463010539937014,0.0027092852748861057,0.63448275862068959,0.60-0.70,9,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2025-11-30,Aston Villa,Wolves,H,0.4531965109293542,0.28870772396857297,0.64244595512905434,-0.16448878696078123,0.18924944419970013,-0.043144151207320146,0.63559322033898313,0.60-0.70,13,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2026-01-04,Manchester City,Chelsea,D,1.6567840330312988,1.4644621165586709,1.3564137154588651,-0.19232191647262797,-0.30037031757243371,-0.021846442964936097,0.63583815028901725,0.60-0.70,20,MW 20-31,neither promoted,H,favourite did not
2023-2024,2024-04-27,Manchester Utd,Burnley,D,1.6567840330312988,1.6034834094602093,1.6826929282241403,-0.053300623571089556,0.025908895192841452,-0.0015243953180510417,0.63583815028901725,0.60-0.70,35,MW 32-38,away promoted,H,favourite did not
2023-2024,2024-05-05,Chelsea,West Ham,H,0.45281122870536289,0.48215877761608389,0.38927700110401936,0.029347548910721,-0.063534227601343529,0.011944931315035212,0.63583815028901725,0.60-0.70,36,MW 32-38,neither promoted,H,favourite delivered
2022-2023,2022-10-08,Chelsea,Wolves,H,0.4519851237430571,0.48006550655093078,0.62730261943937526,0.028080382807873672,0.17531749569631816,0.0035739836474732029,0.63636363636363646,0.60-0.70,10,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2025-04-02,Liverpool,Everton,H,0.45075307905261425,0.46547041901626296,0.47714297067154998,0.014717339963648712,0.026389891618935735,0.0054400086284871613,0.63714814798045882,0.60-0.70,30,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2025-11-29,Brentford,Burnley,H,0.45075307905261425,0.35670701245919473,0.35409803164086984,-0.094046066593419519,-0.09665504741174441,-0.021698218835392136,0.63714814798045882,0.60-0.70,13,MW 7-19,away promoted,H,favourite delivered
2024-2025,2024-09-30,Bournemouth,Southampton,H,0.45075307905261425,0.37994653406015572,0.45501239190401099,-0.070806544992458531,0.004259312851396746,-0.022800741285308186,0.63714814798045882,0.60-0.70,6,MW 1-6,away promoted,H,favourite delivered
2024-2025,2024-12-04,Arsenal,Manchester Utd,H,0.44908190023818467,0.48434954094708355,0.55567989253122729,0.035267640708898873,0.10659799229304262,0.0074742784545726859,0.63821382668883464,0.60-0.70,14,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2024-04-13,Brentford,Sheffield United,H,0.44839015282519823,0.38586640589753879,0.48820924830871093,-0.06252374692765944,0.039819095483512701,-0.016963083861547053,0.63865546218487401,0.60-0.70,33,MW 32-38,away promoted,H,favourite delivered
2022-2023,2023-05-20,Liverpool,Aston Villa,D,1.6010696627635836,1.54608539300833,1.5613355892137024,-0.054984269755253612,-0.039734073549881233,-0.031395891168835288,0.63865546218487401,0.60-0.70,37,MW 32-38,neither promoted,H,favourite did not
2025-2026,2025-12-20,Bournemouth,Burnley,D,1.560361220733089,1.6805479076773635,1.6881301751298299,0.12018668694427448,0.12776895439674085,0.0045417536159097216,0.63869649142727369,0.60-0.70,17,MW 7-19,away promoted,H,favourite did not
2024-2025,2025-02-26,Manchester Utd,Ipswich Town,H,0.4483259117328387,0.54071162952791552,0.56820399181047765,0.092385717795076816,0.11987808007763895,0.02661855354151256,0.63869649142727369,0.60-0.70,27,MW 20-31,away promoted,H,favourite delivered
2025-2026,2026-05-10,Burnley,Aston Villa,D,1.560361220733089,1.3710611095724792,1.3465454578807925,-0.18930011116060985,-0.21381576285229653,-0.049194338157853984,0.63869649142727369,0.60-0.70,36,MW 32-38,home promoted,A,favourite did not
2024-2025,2025-02-15,Southampton,Bournemouth,A,0.4483259117328387,0.25360258710637695,0.41091940635609403,-0.19472332462646175,-0.03740650537674467,-0.049345496087162433,0.63869649142727369,0.60-0.70,25,MW 20-31,home promoted,A,favourite delivered
2022-2023,2022-10-23,Southampton,Arsenal,D,1.5373747773733712,1.4752345624161081,1.3516108028359382,-0.062140214957263185,-0.1857639745374331,-0.018445969509247956,0.64186916314127052,0.60-0.70,13,MW 7-19,neither promoted,A,favourite did not
2024-2025,2024-10-06,Chelsea,Nottingham,D,1.5545271846690756,1.5913130026240738,1.3126581393423398,0.036785817954998246,-0.24186904532673581,0.0038367916799951218,0.64243356028991871,0.60-0.70,7,MW 7-19,neither promoted,H,favourite did not
