season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2023-2024,2023-09-03,Arsenal,Manchester Utd,H,0.61166373362282844,0.59570299650752057,0.66904613725326256,-0.015960737115307877,0.05738240363043412,0.00048210860544933842,0.54244762954796033,0.50-0.60,4,MW 1-6,neither promoted,H,favourite delivered
2025-2026,2026-04-11,Liverpool,Fulham,H,0.61166373362282844,0.6904462981085544,0.78869537289939196,0.078782564485725959,0.17703163927656351,0.023620234086013353,0.54244762954796033,0.50-0.60,32,MW 32-38,neither promoted,H,favourite delivered
2024-2025,2024-10-19,Bournemouth,Arsenal,H,1.6090517374920545,2.3168461581707054,1.6150376383670828,0.70779442067865084,0.0059859008750282605,0.17587954529044553,0.54306682116647353,0.50-0.60,8,MW 7-19,neither promoted,A,favourite did not
2023-2024,2024-05-13,Aston Villa,Liverpool,D,1.6090517374920545,1.4353645568891471,1.5054747787164691,-0.17368718060290744,-0.10357695877558548,-0.033055778430739313,0.54306682116647353,0.50-0.60,37,MW 32-38,neither promoted,A,favourite did not
2025-2026,2026-02-27,Wolves,Aston Villa,H,1.6090517374920545,2.0123366811451922,1.1549266796276223,0.40328494365313761,-0.45412505786443225,0.07403864379220898,0.54306682116647353,0.50-0.60,28,MW 20-31,neither promoted,A,favourite did not
2023-2024,2023-10-22,Aston Villa,West Ham,H,0.60960664722089652,0.48646094189654121,0.50372073585645172,-0.12314570532435531,-0.10588591136444481,-0.031238515920009993,0.54356463968975499,0.50-0.60,9,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2023-12-09,Sheffield United,Brentford,H,1.5655626354874832,2.2732122873862721,1.8217660111015388,0.70764965189878892,0.2562033756140556,0.22514480130386627,0.54356463968975499,0.50-0.60,16,MW 7-19,home promoted,A,favourite did not
2025-2026,2025-11-01,Fulham,Wolves,H,0.60960664722089652,0.6003410778376721,0.81144100972430533,-0.0092655693832244257,0.2018343625034088,-0.00024453274492944321,0.54356463968975499,0.50-0.60,10,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2024-12-15,Southampton,Tottenham,A,0.60846409332990681,0.36836644104438038,0.46232937471723562,-0.24009765228552643,-0.14613471861267119,-0.079863407518793478,0.54418604651162783,0.50-0.60,16,MW 7-19,home promoted,A,favourite delivered
2025-2026,2025-11-22,Wolves,Crystal Palace,A,0.60846409332990681,0.54448476081038444,0.74830010547751102,-0.063979332519522369,0.13983601214760422,-0.02294583583301632,0.54418604651162783,0.50-0.60,12,MW 7-19,neither promoted,A,favourite delivered
2024-2025,2025-05-10,Fulham,Everton,A,1.6574719329002083,1.2162905800601846,1.3081497306006202,-0.44118135284002369,-0.3493222022995881,-0.15186848408249753,0.54462934947049924,0.50-0.60,36,MW 32-38,neither promoted,H,favourite did not
2025-2026,2026-04-19,Aston Villa,Sunderland,H,0.6076498084015306,0.87521944701646914,0.72876807049975512,0.26756963861493854,0.12111826209822452,0.077563481254177433,0.54462934947049924,0.50-0.60,33,MW 32-38,away promoted,H,favourite delivered
2024-2025,2025-03-09,Manchester Utd,Arsenal,D,1.3289678659281723,1.5371209503697023,1.3168485979650468,0.20815308444153002,-0.012119267963125457,0.052215016454173757,0.54462934947049924,0.50-0.60,28,MW 20-31,neither promoted,A,favourite did not
2024-2025,2025-01-04,Brighton,Arsenal,D,1.3289678659281723,1.4836083214646838,1.1738208306406783,0.15464045553651151,-0.15514703528749396,0.052610738761906639,0.54462934947049924,0.50-0.60,20,MW 20-31,neither promoted,A,favourite did not
2023-2024,2023-12-27,Chelsea,Crystal Palace,H,0.60709228379627234,0.64855239442969126,0.70821530389086806,0.041460110633418923,0.10112302009459573,0.020375577909065523,0.5449330783938815,0.50-0.60,19,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-10-01,Crystal Palace,Chelsea,A,0.60709228379627234,1.1900971514663983,1.189929086305356,0.58300486767012594,0.58283680250908365,0.19748253919418901,0.5449330783938815,0.50-0.60,9,MW 7-19,neither promoted,A,favourite delivered
2023-2024,2024-01-20,Brentford,Nottingham,H,0.60709228379627234,0.63816889033110547,0.63317031955115599,0.031076606534833129,0.026078035754883655,0.018132174446150451,0.5449330783938815,0.50-0.60,21,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-02-11,Crystal Palace,Brighton,D,1.3692323358431691,1.360810456196389,1.3756960698434071,-0.0084218796467800949,0.0064637340002380306,-0.01675927868388799,0.5449330783938815,0.50-0.60,23,MW 20-31,neither promoted,A,favourite did not
2022-2023,2023-02-04,Brentford,Southampton,H,0.60709228379627234,0.37574809844320189,1.0190281086947697,-0.23134418535307044,0.41193582489849734,-0.06835151076184165,0.5449330783938815,0.50-0.60,22,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2024-12-16,Bournemouth,West Ham,D,1.4692864089159734,1.4660296157300883,1.5066168850953168,-0.0032567931858851207,0.037330476179343375,0.0052593133954088045,0.54529909116818143,0.50-0.60,16,MW 7-19,neither promoted,H,favourite did not
2024-2025,2025-03-15,Bournemouth,Brentford,A,1.4692864089159734,1.2308314367411006,1.4444878772187986,-0.23845497217487277,-0.02479853169717483,-0.081984178249049133,0.54529909116818143,0.50-0.60,29,MW 20-31,neither promoted,H,favourite did not
2023-2024,2024-02-18,Luton Town,Manchester Utd,A,0.60613580357031538,0.78478098321228518,0.82316565660517238,0.1786451796419698,0.217029853034857,0.065406437241560034,0.54545454545454553,0.50-0.60,25,MW 20-31,home promoted,A,favourite delivered
2023-2024,2024-02-10,Tottenham,Brighton,H,0.60542906638253868,0.587804247598957,0.85959996518537185,-0.017624818783581686,0.25417089880283317,-0.0010960073558591577,0.54584017471928004,0.50-0.60,24,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-04-30,Manchester Utd,Aston Villa,H,0.60542906638253868,0.90651917179139341,0.54877472094909985,0.30109010540885472,-0.056654345433438835,0.10818311263070121,0.54584017471928004,0.50-0.60,34,MW 32-38,neither promoted,H,favourite delivered
2023-2024,2024-04-28,Tottenham,Arsenal,A,0.60542906638253868,0.40169293914319498,0.60428862849167941,-0.2037361272393437,-0.0011404378908592694,-0.062488262679030626,0.54584017471928004,0.50-0.60,35,MW 32-38,neither promoted,A,favourite delivered
2025-2026,2025-09-27,Nottingham,Sunderland,A,1.6022694229554877,0.9238196701459187,1.4374699170547742,-0.67844975280956898,-0.16479950590071346,-0.24706892933886801,0.5467625899280576,0.50-0.60,6,MW 1-6,away promoted,H,favourite did not
2022-2023,2022-10-29,Newcastle,Aston Villa,H,0.60374059284436055,0.49111806943386177,0.75906957722305424,-0.11262252341049878,0.15532898437869369,-0.039610860533559916,0.5467625899280576,0.50-0.60,14,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2025-01-04,Tottenham,Newcastle,A,0.60324117528277454,0.85908527291627601,1.190483042751896,0.25584409763350147,0.58724186746912144,0.092390869449529317,0.54703572096502717,0.50-0.60,20,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2022-08-20,Leicester City,Southampton,A,1.5260436643858537,1.8898313436038219,1.1817154536698984,0.36378767921796817,-0.34432821071595532,0.13405754354808291,0.54727688671494845,0.50-0.60,3,MW 1-6,neither promoted,H,favourite did not
2022-2023,2023-04-02,West Ham,Southampton,H,0.60243198319115387,0.58716850011081478,0.97001627250905331,-0.015263483080339091,0.36758428931789944,-0.0041459040863292274,0.54747855708984738,0.50-0.60,29,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2023-04-29,Brentford,Nottingham,H,0.60243198319115387,0.42872375015450154,0.7635226587534425,-0.17370823303665234,0.16109067556228862,-0.048285549989143292,0.54747855708984738,0.50-0.60,34,MW 32-38,away promoted,H,favourite delivered
2023-2024,2023-11-12,Chelsea,Manchester City,D,1.3755123793995214,1.576131039915371,1.5575769602891234,0.20061866051584953,0.18206458088960198,0.030101563598930681,0.54778196355808406,0.50-0.60,12,MW 7-19,neither promoted,A,favourite did not
2025-2026,2025-12-13,Chelsea,Everton,H,0.60187794792688964,0.73716192590049945,0.45793959792233274,0.1352839779736098,-0.1439383500045569,0.038824053081767562,0.54778196355808406,0.50-0.60,16,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2025-12-03,Burnley,Crystal Palace,A,0.60187794792688964,0.57038853001063528,0.57425267429884375,-0.03148941791625437,-0.027625273628045899,-0.0057703485394146464,0.54778196355808406,0.50-0.60,14,MW 7-19,home promoted,A,favourite delivered
2022-2023,2023-01-03,Arsenal,Newcastle,D,1.3854269329897453,1.2541229758946102,1.2585569302476156,-0.13130395709513509,-0.12687000274212967,-0.038130834489705528,0.54960948799537168,0.50-0.60,19,MW 7-19,neither promoted,H,favourite did not
2023-2024,2024-04-06,Everton,Burnley,H,0.5985472747670928,0.74687833780670876,0.57719054096851075,0.14833106303961596,-0.02135673379858205,0.042490938644386189,0.54960948799537168,0.50-0.60,32,MW 32-38,away promoted,H,favourite delivered
2022-2023,2023-03-18,Aston Villa,Bournemouth,H,0.5985472747670928,0.4884059161859301,0.58959036934445741,-0.1101413585811627,-0.0089569054226353861,-0.029211081911828363,0.54960948799537168,0.50-0.60,28,MW 20-31,away promoted,H,favourite delivered
2022-2023,2023-04-25,Aston Villa,Fulham,H,0.5985472747670928,0.61448089101967307,0.63922550592195926,0.015933616252580274,0.040678231154866462,0.0096438382588974747,0.54960948799537168,0.50-0.60,33,MW 32-38,away promoted,H,favourite delivered
2023-2024,2023-09-01,Luton Town,West Ham,A,0.59715621351701131,0.1702617023499807,0.52490362407852709,-0.42689451116703059,-0.072252589438484227,-0.10962206295749637,0.55037456046476074,0.50-0.60,4,MW 1-6,home promoted,A,favourite delivered
2024-2025,2024-12-07,Crystal Palace,Manchester City,D,1.4353291661272145,1.2589355063190351,1.3236076201790732,-0.17639365980817945,-0.11172154594814132,-0.030638411645176111,0.55037456046476074,0.50-0.60,15,MW 7-19,neither promoted,A,favourite did not
2023-2024,2023-09-02,Brentford,Bournemouth,D,1.4353291661272145,1.7971347475549273,1.6391900399406156,0.3618055814277128,0.20386087381340112,0.10026322679092661,0.55037456046476074,0.50-0.60,4,MW 1-6,neither promoted,H,favourite did not
2024-2025,2024-10-19,Newcastle,Brighton,A,1.5531122017835979,1.3893285357002452,0.96365996445709956,-0.16378366608335271,-0.58945223732649832,-0.058064712006020702,0.55037456046476074,0.50-0.60,8,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-08-24,Aston Villa,Arsenal,A,0.59715621351701131,0.41704469870241379,0.55107724651174428,-0.18011151481459753,-0.046078967005267035,-0.055555158304908717,0.55037456046476074,0.50-0.60,2,MW 1-6,neither promoted,A,favourite delivered
2022-2023,2022-11-13,Brighton,Aston Villa,A,1.6117607938502403,1.8191164957440018,1.5286080357639757,0.20735570189376151,-0.083152758086264544,0.06059044896102278,0.5510440835266821,0.50-0.60,16,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-11-23,Aston Villa,Crystal Palace,D,1.3555073482890199,1.3150439694133025,1.2398890794214066,-0.040463378875717382,-0.11561826886761328,-0.023450284651482994,0.55139936216506213,0.50-0.60,12,MW 7-19,neither promoted,H,favourite did not
2023-2024,2024-03-02,Newcastle,Wolves,H,0.59412369242911101,0.62252091984917945,0.77045622744382403,0.028397227420068449,0.17633253501471302,0.014732968358932674,0.55204611615856525,0.50-0.60,27,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2025-12-15,Manchester Utd,Bournemouth,D,1.5115698259338219,1.4769879309970666,1.5588173588022496,-0.034581894936755342,0.047247532868427644,-0.013064570135311454,0.55204611615856525,0.50-0.60,16,MW 7-19,neither promoted,H,favourite did not
2024-2025,2025-01-25,Brighton,Everton,A,1.7034773605204254,1.4628013232722756,1.7412234565419871,-0.24067603724814979,0.037746096021561648,-0.10328294081471862,0.5524619634322796,0.50-0.60,23,MW 20-31,neither promoted,H,favourite did not
2025-2026,2025-10-19,Liverpool,Manchester Utd,A,1.4975199962301149,1.9855836747297924,1.3642922019684773,0.48806367849967747,-0.13322779426163756,0.15113071187108973,0.55263157894736847,0.50-0.60,8,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-12-21,Ipswich Town,Newcastle,A,0.59211078568271169,0.59875735722015166,0.77562607173056486,0.0066465715374399714,0.18351528604785317,0.0007786975560780951,0.55315845264933783,0.50-0.60,17,MW 7-19,home promoted,A,favourite delivered
2022-2023,2022-12-26,Aston Villa,Liverpool,A,0.59070637500545364,0.6263768576601989,0.78394926771310314,0.035670482654745261,0.19324289270764949,0.012030711379618628,0.55393586005830908,0.50-0.60,17,MW 7-19,neither promoted,A,favourite delivered
2023-2024,2023-10-21,Brentford,Burnley,H,0.59070637500545364,0.26955475340429708,0.49312872525000589,-0.32115162160115657,-0.097577649755447748,-0.086006470867391716,0.55393586005830908,0.50-0.60,9,MW 7-19,away promoted,H,favourite delivered
2023-2024,2024-01-13,Newcastle,Manchester City,A,0.58932868525393423,0.76845947612856014,0.61691863034638195,0.17913079087462591,0.027589945092447721,0.074306850031720661,0.55469953775038527,0.50-0.60,21,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2026-01-18,Wolves,Newcastle,D,1.4449947953116546,1.3731293768866757,1.2526834002997298,-0.071865418424978955,-0.19231139501192485,0.0021788372633113617,0.55469953775038527,0.50-0.60,22,MW 20-31,neither promoted,A,favourite did not
2024-2025,2024-12-01,Chelsea,Aston Villa,H,0.58932868525393423,0.53847771842656178,0.65318032742469068,-0.050850966827372446,0.063851642170756451,-0.013366360821161549,0.55469953775038527,0.50-0.60,13,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-10-03,Leicester City,Nottingham,H,0.58932868525393423,0.32387805622378907,0.38517600685396708,-0.26545062903014516,-0.20415267839996715,-0.076568488756241809,0.55469953775038527,0.50-0.60,9,MW 7-19,away promoted,H,favourite delivered
2023-2024,2023-11-25,Manchester City,Liverpool,D,1.4907816522644695,1.5971765977357077,1.7058099721812039,0.10639494547123829,0.21502831991673443,-0.0037497285625580079,0.55636797503594704,0.50-0.60,13,MW 7-19,neither promoted,H,favourite did not
2023-2024,2023-12-23,Tottenham,Everton,H,0.5863253780373171,0.56553631690771966,0.63525655034198425,-0.020789061129597441,0.048931172304667148,-0.0026433713069298759,0.55636797503594704,0.50-0.60,18,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2025-02-01,Bournemouth,Liverpool,A,0.5863253780373171,0.74056038259603896,0.69791516880676996,0.15423500455872186,0.11158979076945286,0.052257455941892253,0.55636797503594704,0.50-0.60,24,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2023-03-17,Nottingham,Newcastle,A,0.58557964568801357,0.56710725209577639,0.66798476974825427,-0.01847239359223718,0.082405124060240698,-0.0052788099892492335,0.55678303137428198,0.50-0.60,28,MW 20-31,home promoted,A,favourite delivered
2023-2024,2023-12-02,Burnley,Sheffield United,H,0.58557964568801357,0.76816868130050941,0.44871538123872567,0.18258903561249584,-0.1368642644492879,0.076992927995518906,0.55678303137428198,0.50-0.60,14,MW 7-19,both promoted,H,favourite delivered
2024-2025,2025-03-16,Arsenal,Chelsea,H,0.58557964568801357,0.54161959594836584,0.67428567361111702,-0.043960049739647733,0.088706027923103448,-0.008859668750481664,0.55678303137428198,0.50-0.60,29,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2025-02-01,Newcastle,Fulham,A,1.611848278168732,1.4352851245450902,1.1806924426187291,-0.17656315362364183,-0.43115583555000292,-0.054609182557331715,0.55747818236533253,0.50-0.60,24,MW 20-31,neither promoted,H,favourite did not
2022-2023,2022-10-30,Manchester Utd,West Ham,H,0.58433191118435235,0.70792830878293489,0.61211721624888793,0.12359639759858254,0.027785305064535581,0.034099778414229898,0.55747818236533253,0.50-0.60,14,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2024-02-10,Luton Town,Sheffield United,A,1.611848278168732,2.5054505542471843,1.5069335287157091,0.89360227607845233,-0.10491474945302293,0.2597931628079565,0.55747818236533253,0.50-0.60,24,MW 20-31,both promoted,H,favourite did not
2025-2026,2026-02-28,Leeds United,Manchester City,A,0.58433191118435235,0.54990152155042171,0.83435204835038401,-0.034430389633930636,0.25002013716603166,-0.010864844463260998,0.55747818236533253,0.50-0.60,28,MW 20-31,home promoted,A,favourite delivered
2025-2026,2026-01-07,Burnley,Manchester Utd,D,1.4146802132577827,1.3796180623326784,1.4526328967594273,-0.035062150925104341,0.037952683501644602,-0.012768457912569559,0.55747818236533253,0.50-0.60,21,MW 20-31,home promoted,A,favourite did not
2022-2023,2022-10-15,Wolves,Nottingham,H,0.58407608550558332,0.66089796678919277,0.54963948705642696,0.07682188128360945,-0.034436598449156364,0.013379502678534577,0.55762081784386619,0.50-0.60,11,MW 7-19,away promoted,H,favourite delivered
2025-2026,2026-03-15,Manchester Utd,Aston Villa,H,0.58356215650716514,0.81148863071632849,0.59338957451736563,0.22792647420916334,0.0098274180102004838,0.074834034521831391,0.55790746900514065,0.50-0.60,30,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2026-05-24,West Ham,Leeds United,H,0.58356215650716514,1.2416059551414609,1.1292316289360569,0.65804379863429574,0.54566947242889174,0.22024247914450368,0.55790746900514065,0.50-0.60,38,MW 32-38,away promoted,H,favourite delivered
2023-2024,2023-10-21,Nottingham,Luton Town,D,1.3563287874710384,1.4728230958667385,1.3258225041817711,0.11649430839570019,-0.0305062832892673,0.026376658821079174,0.55839183152520744,0.50-0.60,9,MW 7-19,away promoted,H,favourite did not
2023-2024,2024-02-03,Brighton,Crystal Palace,H,0.58074438227670611,0.57660366878488212,0.53929319008707155,-0.0041407134918239885,-0.041451192189634556,0.0037594106295455176,0.55948174322732624,0.50-0.60,23,MW 20-31,neither promoted,H,favourite delivered
2022-2023,2022-10-29,Bournemouth,Tottenham,A,0.58074438227670611,0.39837311210909016,0.57268036843873082,-0.18237127016761595,-0.0080640138379752813,-0.05495121162382454,0.55948174322732624,0.50-0.60,14,MW 7-19,home promoted,A,favourite delivered
2023-2024,2024-03-02,Luton Town,Aston Villa,A,0.57954132058493202,0.55579313334153424,0.60426248161870089,-0.023748187243397778,0.024721161033768868,-0.0040787255727380289,0.56015523932729627,0.50-0.60,27,MW 20-31,home promoted,A,favourite delivered
2025-2026,2026-02-10,West Ham,Manchester Utd,D,1.5144806115371603,1.4148971994815891,1.5076369534266627,-0.099583412055571197,-0.0068436581104975858,-0.02294797190450254,0.56015523932729627,0.50-0.60,26,MW 20-31,neither promoted,A,favourite did not
2023-2024,2023-09-16,Wolves,Liverpool,A,0.57954132058493202,0.36398962347021402,0.69943727042333581,-0.215551697114718,0.11989594983840379,-0.064422547516839651,0.56015523932729627,0.50-0.60,5,MW 1-6,neither promoted,A,favourite delivered
2024-2025,2024-10-20,Liverpool,Chelsea,H,0.57846577165086943,0.5925948652385945,0.46418392689257582,0.014129093587725072,-0.11428184475829362,0.0011031531824957225,0.56075803780938671,0.50-0.60,8,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2024-11-30,Nottingham,Ipswich Town,H,0.57823830003342436,0.61872304933760114,0.50887319733622027,0.040484749304176781,-0.069365102697204084,0.0092587427384742682,0.56088560885608862,0.50-0.60,13,MW 7-19,away promoted,H,favourite delivered
2023-2024,2024-02-12,Crystal Palace,Chelsea,A,0.57823830003342436,0.9115918182618119,1.1751369957393631,0.33335351822838755,0.59689869570593879,0.12397728191372216,0.56088560885608862,0.50-0.60,24,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2023-04-16,Nottingham,Manchester Utd,A,0.57823830003342436,0.60548381549908803,0.7516955936133809,0.027245515465663672,0.17345729357995654,0.010312092900030087,0.56088560885608862,0.50-0.60,31,MW 20-31,home promoted,A,favourite delivered
2023-2024,2024-03-30,Sheffield United,Fulham,D,1.4339044100911447,1.7366744201311903,1.5354517724883436,0.30277001004004567,0.10154736239719897,0.079378520209418268,0.56088560885608862,0.50-0.60,30,MW 20-31,home promoted,A,favourite did not
2024-2025,2024-08-19,Leicester City,Tottenham,D,1.4824954095800171,1.4593063551575471,1.3776096407531584,-0.02318905442246999,-0.10488576882685874,-0.029798854389519264,0.56099732858414963,0.50-0.60,1,MW 1-6,home promoted,A,favourite did not
2022-2023,2023-05-15,Leicester City,Liverpool,A,0.57803913535286477,0.482331841242915,0.72732538037051153,-0.09570729410994977,0.14928624501764676,-0.023945545861351905,0.56099732858414963,0.50-0.60,36,MW 32-38,neither promoted,A,favourite delivered
2023-2024,2023-12-06,Brighton,Brentford,H,0.57803913535286455,0.80151216249090951,0.53960300549321139,0.22347302713804496,-0.038436129859653168,0.093768476880803628,0.56099732858414975,0.50-0.60,15,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2025-08-30,Chelsea,Fulham,H,0.57649205108828649,0.55784265075089767,0.64057920185184447,-0.018649400337388822,0.064087150763557976,-0.006052746255897315,0.56186591043508594,0.50-0.60,3,MW 1-6,neither promoted,H,favourite delivered
2025-2026,2026-02-12,Brentford,Arsenal,D,1.3851709758678783,1.2858090388329566,1.238379265072072,-0.099361937034921688,-0.14679171079580633,-0.018964590203600196,0.56200824278756101,0.50-0.60,26,MW 20-31,neither promoted,A,favourite did not
2024-2025,2024-12-22,Everton,Chelsea,D,1.4738932789355657,1.3372983364490403,1.3243612234274593,-0.13659494248652537,-0.14953205550810633,-0.003132606629716872,0.56229428257954406,0.50-0.60,17,MW 7-19,neither promoted,A,favourite did not
2025-2026,2026-03-04,Brighton,Arsenal,A,0.57294015678512444,0.64056540175806065,0.7295366976461376,0.067625244972936205,0.15659654086101316,0.017861472255362693,0.56386514719848058,0.50-0.60,29,MW 20-31,neither promoted,A,favourite delivered
2024-2025,2025-01-04,Bournemouth,Everton,H,0.57294015678512444,0.7470261282775843,0.63359104929847065,0.17408597149245986,0.060650892513346211,0.043928634765610208,0.56386514719848058,0.50-0.60,20,MW 20-31,neither promoted,H,favourite delivered
2025-2026,2026-03-14,Chelsea,Newcastle,A,1.524492988950501,1.554667541793624,1.1423978392284158,0.030174552843122981,-0.38209514972208525,0.0028873633377025643,0.5645371577574968,0.50-0.60,30,MW 20-31,neither promoted,H,favourite did not
2025-2026,2025-11-01,Liverpool,Aston Villa,H,0.57174907336476621,0.77714229785473576,0.65955910303101195,0.20539322448996955,0.087810029666245737,0.070213018411816513,0.5645371577574968,0.50-0.60,10,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2025-04-03,Chelsea,Tottenham,H,0.57174907336476621,0.84163686135270388,0.69195796449423153,0.26988778798793767,0.12020889112946531,0.10597222744130416,0.5645371577574968,0.50-0.60,30,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2025-05-03,Arsenal,Bournemouth,A,1.6157800340464288,1.7239210389231898,1.4941002941302823,0.10814100487676104,-0.12167973991614645,0.025063842983392259,0.56526589810338423,0.50-0.60,35,MW 32-38,neither promoted,H,favourite did not
2022-2023,2023-02-25,Crystal Palace,Liverpool,D,1.4439297771197697,1.3158784654365667,1.4516779002329856,-0.12805131168320294,0.0077481231132159323,-0.029435731200904564,0.56526589810338423,0.50-0.60,25,MW 20-31,neither promoted,A,favourite did not
2025-2026,2025-12-08,Wolves,Manchester Utd,A,0.57045904242854251,0.56242020207069909,0.6847718631248737,-0.0080388403578434131,0.1143128206963312,-0.0038848436428803451,0.56526589810338423,0.50-0.60,15,MW 7-19,neither promoted,A,favourite delivered
2022-2023,2023-04-17,Leeds United,Liverpool,A,0.57026186466742979,0.4594956328974637,0.66371878639066695,-0.11076623176996608,0.093456921723237163,-0.03123368786156816,0.56537736695683394,0.50-0.60,31,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2025-09-13,Crystal Palace,Sunderland,D,1.3376906248629312,1.2415809768875732,1.328884386437075,-0.096109647975358037,-0.0088062384258562609,-0.04656488841618811,0.56576277966682864,0.50-0.60,4,MW 1-6,away promoted,H,favourite did not
2023-2024,2023-12-23,Fulham,Burnley,A,1.712664416180415,2.1916224240339259,1.4790621085836519,0.47895800785351095,-0.23360230759676304,0.17540982693830376,0.56707712248865849,0.50-0.60,18,MW 7-19,away promoted,H,favourite did not
2024-2025,2024-09-14,Aston Villa,Everton,H,0.5672599660055464,0.44242787824197283,0.74341071100980327,-0.12483208776357357,0.17615074500425687,-0.036490535600521429,0.56707712248865849,0.50-0.60,4,MW 1-6,neither promoted,H,favourite delivered
2023-2024,2023-09-30,Everton,Luton Town,A,1.712664416180415,1.9213274026259264,1.9866813521908584,0.2086629864455114,0.27401693601044341,0.068011016501353327,0.56707712248865849,0.50-0.60,7,MW 7-19,away promoted,H,favourite did not
2023-2024,2023-12-07,Tottenham,West Ham,A,1.5943384934084885,1.520008747637396,1.6133191817748429,-0.074329745771092526,0.018980688366354359,0.0160153167348423,0.5673254656618798,0.50-0.60,15,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-12-07,Manchester Utd,Nottingham,A,1.6631802245669642,1.5355191089239131,1.2668147963088396,-0.12766111564305116,-0.3963654282581246,-0.064218118434505422,0.56747082617932088,0.50-0.60,15,MW 7-19,neither promoted,H,favourite did not
2024-2025,2024-09-21,Aston Villa,Wolves,H,0.56523904548978499,0.45339583511504916,0.57136695729480658,-0.11184321037473582,0.0061279118050215908,-0.03149645056395585,0.56822429906542049,0.50-0.60,5,MW 1-6,neither promoted,H,favourite delivered
2024-2025,2024-09-28,Newcastle,Manchester City,D,1.4628496984638368,1.7105953791355508,1.6384692986238802,0.24774568067171399,0.17561960016004341,0.059961514936057031,0.5685384402049366,0.50-0.60,6,MW 1-6,neither promoted,A,favourite did not
2025-2026,2026-02-01,Tottenham,Manchester City,D,1.4628496984638368,1.3570354189690896,1.2219547753237112,-0.1058142794947472,-0.24089492314012562,-0.0056436304511540414,0.5685384402049366,0.50-0.60,24,MW 20-31,neither promoted,A,favourite did not
2025-2026,2026-01-04,Newcastle,Crystal Palace,H,0.56468635118223842,0.71298826161261331,0.76949624235387015,0.14830191043037488,0.20480989117163173,0.044078496788741428,0.5685384402049366,0.50-0.60,20,MW 20-31,neither promoted,H,favourite delivered
2023-2024,2024-04-21,Fulham,Liverpool,A,0.56348964878869356,0.63288158977923281,0.63548169218857531,0.069391940990539247,0.071992043399881744,0.018725919804758476,0.56921921878058257,0.50-0.60,34,MW 32-38,neither promoted,A,favourite delivered
2023-2024,2024-01-21,Bournemouth,Liverpool,A,0.56348964878869356,0.53289314098125729,0.59096488110237932,-0.03059650780743628,0.02747523231368576,-0.0095092857106018197,0.56921921878058257,0.50-0.60,21,MW 20-31,neither promoted,A,favourite delivered
2023-2024,2024-02-18,Sheffield United,Brighton,A,0.56348964878869356,0.45705791249465272,0.40578642455059427,-0.10643173629404085,-0.15770322423809929,-0.033064676114397409,0.56921921878058257,0.50-0.60,25,MW 20-31,home promoted,A,favourite delivered
2025-2026,2026-04-25,Wolves,Tottenham,A,0.56348964878869356,0.92589507575789864,0.89030293983066178,0.36240542696920508,0.32681329104196821,0.11447407924705201,0.56921921878058257,0.50-0.60,34,MW 32-38,neither promoted,A,favourite delivered
2024-2025,2025-05-25,Manchester Utd,Aston Villa,H,1.5547434191363039,1.4792035338065361,1.0000665483465356,-0.075539885329767742,-0.55467687078976824,-0.037819846315480965,0.56921921878058257,0.50-0.60,38,MW 32-38,neither promoted,A,favourite did not
2024-2025,2025-04-16,Newcastle,Crystal Palace,H,0.56137248579605614,0.67288170465939368,0.94046157673265685,0.11150921886333753,0.3790890909366007,0.046153497278490677,0.57042562527424312,0.50-0.60,29,MW 20-31,neither promoted,H,favourite delivered
