book,season,date,home_team,away_team,result,overround,shin_z,price_H,prop_p_H,shin_p_H,price_D,prop_p_D,shin_p_D,price_A,prop_p_A,shin_p_A
PSC,2022-2023,2023-01-15,Newcastle,Fulham,H,1.0276682210003867,0.013955340675986638,1.47,0.66195693799047761,0.66874463126549055,4.7400000000000002,0.20529044279451519,0.20262159376977623,7.3300000000000001,0.13275261921500711,0.1286337749647333
PSC,2022-2023,2023-01-15,Tottenham,Arsenal,A,1.0231196295427001,0.011566968764303187,3.3999999999999999,0.28747141445256424,0.28667932771924148,3.5899999999999999,0.2722570498993645,0.27120357954141511,2.2200000000000002,0.44027153564807131,0.44211709273934341
PSC,2022-2023,2023-01-18,Crystal Palace,Manchester Utd,D,1.0246767607098675,0.012384041557900627,5.4000000000000004,0.18072546610395854,0.17792221865140226,3.98,0.24520540627170251,0.2435727813491507,1.7,0.57406912762433893,0.57850499999944716
PSC,2022-2023,2023-01-19,Manchester City,Tottenham,H,1.0254497271438037,0.012810760083476425,1.51,0.6458158192442216,0.65175527077458617,4.75,0.20530144990711044,0.20285414068455454,6.5499999999999998,0.14888273084866788,0.14539058854085929
PSC,2022-2023,2023-01-21,Bournemouth,Nottingham,D,1.0208596245757255,0.010430428026423633,2.9300000000000002,0.33432307450643839,0.3343382748758586,3.2200000000000002,0.30421323239250453,0.30376014999663692,2.71,0.36146369310105703,0.36190157512750448
PSC,2022-2023,2023-01-21,Crystal Palace,Newcastle,D,1.0240769076921563,0.012064500464949113,4.6600000000000001,0.20954703017541268,0.20732694920489722,3.6400000000000001,0.26826625291687445,0.26709146460213784,1.8700000000000001,0.52218671690771279,0.52558158619296491
PSC,2022-2023,2023-01-21,Leicester City,Brighton,D,1.0226385636221702,0.011343218211140815,4.3499999999999996,0.22479599894709135,0.22296194636198446,4.0599999999999996,0.24085285601474074,0.23928762655224994,1.8300000000000001,0.53435114503816783,0.53775042708576559
PSC,2022-2023,2023-01-21,Liverpool,Chelsea,D,1.0236204989242075,0.011822691745021985,2.0699999999999998,0.4719442292796282,0.47438851528153897,3.5699999999999998,0.2736483346243222,0.27259477272852883,3.8399999999999999,0.25440743609604954,0.25301671198993214
PSC,2022-2023,2023-01-21,Southampton,Aston Villa,A,1.0216713667291866,0.010836606527725834,2.6600000000000001,0.36796553360167733,0.36852553815032374,3.2599999999999998,0.30024181576087788,0.29970702360533807,2.9500000000000002,0.33179265063744467,0.33176743824433813
PSC,2022-2023,2023-01-21,West Ham,Everton,H,1.0241313502515654,0.01209204076647602,1.8799999999999999,0.5193815163322193,0.52273320438288251,3.5499999999999998,0.27505274667734436,0.27399683778732248,4.75,0.20556573699043629,0.20326995782979496
PSC,2022-2023,2023-01-22,Arsenal,Manchester Utd,H,1.0244594115561858,0.012255299863789482,1.8600000000000001,0.52479815455593992,0.52829492911084841,3.8999999999999999,0.25028835063437144,0.24876935296172298,4.3399999999999999,0.22491349480968856,0.22293571792742869
PSC,2022-2023,2023-01-22,Leeds United,Brentford,D,1.0225738339886052,0.011291344273269388,2.3700000000000001,0.4126263691143342,0.4139621979825987,3.6099999999999999,0.270893211856225,0.2698424824728794,3.0899999999999999,0.31648041902944091,0.31619531954452196
PSC,2022-2023,2023-01-22,Manchester City,Wolves,H,1.029034227864374,0.014833100688244727,1.27,0.76518501861429677,0.774543507929083,6.25,0.15548559578242513,0.15155961634014345,12.25,0.07932938560327811,0.073896875730773484
PSC,2022-2023,2023-01-23,Fulham,Tottenham,A,1.0223306207762166,0.011174127884730378,3.3300000000000001,0.2937408840129368,0.29307913250532641,3.8599999999999999,0.25340858646711906,0.25207773344265816,2.1600000000000001,0.45285052951994414,0.45484313405201543
PSC,2022-2023,2023-02-03,Chelsea,Fulham,D,1.0245560746626003,0.012339122753261211,1.6100000000000001,0.6062313501258606,0.61123572154742667,4.1799999999999997,0.23350059179488891,0.23165732852711879,6.0899999999999999,0.16026805807925049,0.15710694992545457
PSC,2022-2023,2023-02-04,Aston Villa,Leicester City,A,1.0232943685347113,0.01165711569623934,2.1299999999999999,0.45879620030293555,0.46097803490398603,3.5,0.27921025904150076,0.27826822075937618,3.73,0.26199354065556374,0.26075374433663778
PSC,2022-2023,2023-02-04,Brentford,Southampton,H,1.0242197972259321,0.012140887579462911,1.8200000000000001,0.53645765385390842,0.54013080216213616,3.7000000000000002,0.2638791702740847,0.26261687092455749,4.8899999999999997,0.19966317587200685,0.1972523269133063
PSC,2022-2023,2023-02-04,Brighton,Bournemouth,H,1.0311127721199664,0.01575644412639754,1.3899999999999999,0.69771656397245385,0.70617634999680412,5.25,0.18472876646127823,0.18124097407133147,8.25,0.11755466956626796,0.11258267593186444
PSC,2022-2023,2023-02-04,Everton,Arsenal,H,1.0253115264797508,0.012761427207370335,8,0.12191416635017091,0.11794754736694477,4.2800000000000002,0.22787694644891759,0.22585615668587122,1.5,0.65020888720091152,0.65619629594718409
PSC,2022-2023,2023-02-04,Manchester Utd,Crystal Palace,H,1.0246482018659919,0.012461867972085372,1.3899999999999999,0.70211850186386637,0.70890734350692264,5.1100000000000003,0.1909872245774509,0.18833535362552781,9.1300000000000008,0.10689427355868281,0.10275730286754953
PSC,2022-2023,2023-02-04,Newcastle,West Ham,D,1.0253723610051515,0.012741640425263601,1.6699999999999999,0.58398530912476243,0.58873314325905124,3.9300000000000002,0.24815660718533158,0.24653067373397788,5.8099999999999996,0.1678580836899059,0.1647361830069709
PSC,2022-2023,2023-02-04,Wolves,Liverpool,H,1.0227227373490679,0.011377097086044119,3.98,0.2456738979503868,0.24418713221698837,3.79,0.25799000365238511,0.25671068088250731,1.97,0.49633609839722814,0.49910218690050429
PSC,2022-2023,2023-02-05,Nottingham,Leeds United,H,1.0215739233358956,0.010788765217442264,2.8500000000000001,0.34346725671763939,0.34362979878843997,3.46,0.28291378082233309,0.28210288689620944,2.6200000000000001,0.37361896246002757,0.3742673143153506
PSC,2022-2023,2023-02-05,Tottenham,Manchester City,H,1.0220281485456089,0.011030793577641695,4.0300000000000002,0.24279072760323661,0.24130141957723877,3.9100000000000001,0.25024210543249198,0.24887443935905965,1.9299999999999999,0.50696716696427135,0.50982414106370166
PSC,2022-2023,2023-02-08,Manchester Utd,Leeds United,D,1.0274089113590605,0.013788582033392949,1.5600000000000001,0.62392454838423561,0.62987066264419656,4.4900000000000002,0.21677556692191705,0.21437670693503835,6.1100000000000003,0.15929988469384737,0.15575263042076515
PSC,2022-2023,2023-02-11,Arsenal,Brentford,D,1.0256858250127519,0.012916664192114791,1.5800000000000001,0.61706165471985008,0.6225030323852806,4.25,0.22940174457820309,0.22739307580470353,6.3499999999999996,0.15353660070194697,0.1501038918100159
PSC,2022-2023,2023-02-11,Bournemouth,Newcastle,D,1.0243449389917592,0.012230492104705171,6.0999999999999996,0.16003830349458784,0.15690092718090717,4.0499999999999998,0.24104534600419403,0.23935462644525088,1.6299999999999999,0.59891635050121828,0.60374444637384195
PSC,2022-2023,2023-02-11,Crystal Palace,Brighton,D,1.0262088182074349,0.013147750874431707,5.1500000000000004,0.18921563899707541,0.18640529611189371,3.79,0.2571135991648914,0.25561359072187989,1.76,0.55367076183803321,0.55798111316622634
PSC,2022-2023,2023-02-11,Fulham,Nottingham,H,1.0226520045059688,0.01134295475391528,1.97,0.49637042802570164,0.49912819416427262,3.52,0.27779822250302055,0.27685558600839977,4.3300000000000001,0.22583134947127767,0.22401621982732758
PSC,2022-2023,2023-02-11,Leicester City,Tottenham,H,1.022259967816914,0.011140019676871837,3.5699999999999998,0.27401253461594521,0.2730258409868806,3.7599999999999998,0.26016615653694797,0.25895059492002159,2.1000000000000001,0.46582130884710682,0.46802356409309781
PSC,2022-2023,2023-02-11,Southampton,Wolves,A,1.0212138750627,0.010608780631070791,3.2599999999999998,0.30037632052231478,0.2998545466477805,3.1800000000000002,0.30793295751658684,0.30753059181293024,2.5,0.3916907219610985,0.39261486153928926
PSC,2022-2023,2023-02-11,West Ham,Chelsea,D,1.0212869074271989,0.010648538222213677,3.5099999999999998,0.27896204565864724,0.278098130937598,3.3799999999999999,0.28969135510705679,0.28899733991724841,2.27,0.43134659923429597,0.43290452914515359
PSC,2022-2023,2023-02-12,Leeds United,Manchester Utd,A,1.0239279530618113,0.011980712008304362,3.8100000000000001,0.25633365200764818,0.25495761769444669,3.8999999999999999,0.25041826003824097,0.24893735341416162,1.98,0.49324808795411096,0.49610502889139169
PSC,2022-2023,2023-02-12,Manchester City,Aston Villa,H,1.0315143088865717,0.0159877319049051,1.3700000000000001,0.70762664270470621,0.71642706591134597,5.25,0.18465685723913286,0.18111208205651813,9,0.10771650005616083,0.10246085203213583
PSC,2022-2023,2023-02-13,Liverpool,Everton,H,1.0237551336304285,0.011930614365110781,1.6200000000000001,0.60296054235965468,0.60774477686993156,4.2999999999999998,0.22716187874945132,0.22526912335160276,5.75,0.16987757889089403,0.16698609977846568
PSC,2022-2023,2023-02-15,Arsenal,Manchester City,A,1.0222385910711902,0.01112482406479387,3.3599999999999999,0.2911444062263161,0.29044353910972959,3.52,0.27791056957966537,0.27699085202897505,2.27,0.43094502419401853,0.43256560886129541
PSC,2022-2023,2023-02-18,Aston Villa,Arsenal,A,1.0241516630881984,0.012095394336289533,4.2400000000000002,0.23028723684595784,0.22843205555785526,3.6299999999999999,0.26898564303770284,0.2678225130837889,1.95,0.50072712011633924,0.50374543135835581
PSC,2022-2023,2023-02-18,Brentford,Crystal Palace,D,1.0243040845801523,0.012183265330353521,1.8300000000000001,0.53348228876357084,0.53711390018997163,3.6200000000000001,0.26968856034180522,0.2685266545935816,4.96,0.19682915089462397,0.19435944521644669
PSC,2022-2023,2023-02-18,Brighton,Fulham,A,1.0237645076087494,0.01194839545754639,1.5600000000000001,0.62614559916998103,0.6313433359496583,4.4199999999999999,0.22099256441293449,0.21898577949920353,6.3899999999999997,0.15286183641708459,0.14967088455113817
PSC,2022-2023,2023-02-18,Chelsea,Southampton,A,1.034335136276884,0.017392025007564371,1.4299999999999999,0.6760871547087246,0.68486097977190841,4.6799999999999997,0.20658218616099916,0.20328472545128382,8.2400000000000002,0.11733065913027621,0.11185429477680778
PSC,2022-2023,2023-02-18,Everton,Leeds United,H,1.0192002080743294,0.0096006913676163208,2.8199999999999998,0.34792960820525343,0.34813866589932096,3.2799999999999998,0.29913460217646787,0.29864469030320978,2.7799999999999998,0.35293578961827865,0.35321664379746937
PSC,2022-2023,2023-02-18,Newcastle,Liverpool,A,1.0219381313131315,0.010971446876138824,2.5600000000000001,0.3822393822393822,0.38303979292076179,3.52,0.27799227799227799,0.27708733115555889,2.8799999999999999,0.3397683397683397,0.33987287592367943
PSC,2022-2023,2023-02-18,Nottingham,Manchester City,D,1.0323029796714007,0.016453138753790064,10.5,0.092257890477475041,0.086522106780286753,5.4000000000000004,0.17939034259509035,0.1756089562093886,1.3300000000000001,0.72835176692743453,0.73786893701032474
PSC,2022-2023,2023-02-18,Wolves,Bournemouth,A,1.0234943942057515,0.011776570272876874,1.8300000000000001,0.53390432866586113,0.53742287768293373,3.6200000000000001,0.26990191200511765,0.26878242236906841,4.9800000000000004,0.19619375932902122,0.19379469994799778
