fold,test_season,cutoff,window_matches,c_pooled,c_home,c_away,rho,goals_home_multiplier,sot_home_multiplier,goals_degenerate,sot_degenerate,goals_converged,sot_converged
2,2023-2024,2023-11-26,887,0.33327607260570924,0.3388967813652391,0.32646895991245378,0.10166083184366227,1.2631339808160824,1.2134969050905959,0,0,True,True
2,2023-2024,2023-11-27,889,0.33208499633496413,0.33401619522437326,0.32973667594644956,0.10099282075460546,1.2418458325788007,1.2192815524516749,0,0,True,True
2,2023-2024,2023-12-02,890,0.33280938149714551,0.33531247010729964,0.32977077394196269,0.10231768701378491,1.2454275447986234,1.2171581345721312,0,0,True,True
2,2023-2024,2023-12-03,895,0.33425918847073827,0.33871674499516619,0.32876473112111054,0.12915182195953098,1.2572739128593937,1.2200659454535219,0,0,True,True
2,2023-2024,2023-12-05,900,0.33839828507090164,0.3418617941804451,0.33411482660027103,0.109100564195595,1.2439601888317577,1.2165459740194522,0,0,True,True
2,2023-2024,2023-12-06,902,0.33925445403717197,0.34345794251427281,0.33410031888971703,0.12774441548827417,1.2443191517332739,1.2116187419431377,0,0,True,True
2,2023-2024,2023-12-07,908,0.3379187395132493,0.34183193067734885,0.33307046397986295,0.1414675565299911,1.2721449495613206,1.2404392374400992,0,0,True,True
2,2023-2024,2023-12-09,910,0.33718501198553713,0.34129604071658493,0.33207255958068038,0.14073084757628607,1.2830129366196468,1.2436786144401719,0,0,True,True
2,2023-2024,2023-12-10,916,0.33421760071080853,0.33551050626823004,0.33260187138049024,0.13997707419986816,1.272767302118724,1.2510895302497569,0,0,True,True
2,2023-2024,2023-12-15,920,0.33419207777074583,0.33889878395855272,0.32827947162722565,0.13773326505897765,1.318152476246272,1.2657446986205501,0,0,True,True
2,2023-2024,2023-12-16,921,0.33396829181869803,0.33849599979160527,0.32832439554252379,0.13760999227597079,1.3124519078849559,1.2602833115277747,0,0,True,True
2,2023-2024,2023-12-17,925,0.33244317284236041,0.33601686064247943,0.3279320535730415,0.13716028408301714,1.3041950157140285,1.26290195687581,0,0,True,True
2,2023-2024,2023-12-21,929,0.33034011461063856,0.33367463374795386,0.3260758588362066,0.11820585633486434,1.3139840076306162,1.278078874895916,0,0,True,True
