rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B1,1,2,300,lam=300,190,95,2022-01-02,2022-01-03,1.0044524211101764,0.2182128185166668,0.55789473684210522,29
B1,1,3,300,lam=300,285,95,2022-03-18,2022-03-19,0.96816892621346584,0.20116696383944746,0.52631578947368418,29
B1,1,1,1000,lam=1000,97,93,2021-10-30,2021-10-31,1.1365397485819668,0.24970766637011935,0.25806451612903225,30
B1,1,2,1000,lam=1000,190,95,2022-01-02,2022-01-03,1.0086637349693126,0.22183951097027232,0.55789473684210522,29
B1,1,3,1000,lam=1000,285,95,2022-03-18,2022-03-19,0.97465622699925292,0.20467350652640387,0.52631578947368418,29
B1,1,1,3000,lam=3000,97,93,2021-10-30,2021-10-31,1.0977851752466643,0.2373747276354912,0.25806451612903225,30
B1,1,2,3000,lam=3000,190,95,2022-01-02,2022-01-03,1.0325759137094501,0.23111415430843241,0.48421052631578948,29
B1,1,3,3000,lam=3000,285,95,2022-03-18,2022-03-19,0.99904164313486554,0.21430320704413686,0.5368421052631579,29
B1,1,1,10000,lam=10000,97,93,2021-10-30,2021-10-31,1.0896514372464123,0.23474372465076215,0.25806451612903225,30
B1,1,2,10000,lam=10000,190,95,2022-01-02,2022-01-03,1.0549886128458514,0.23947852860290023,0.40000000000000002,29
B1,1,3,10000,lam=10000,285,95,2022-03-18,2022-03-19,1.0281546030932502,0.22552605642923396,0.57894736842105265,29
B1,2,1,100,lam=100,190,190,2022-01-02,2022-01-03,1.0135239669288982,0.21791919606682447,0.54736842105263162,29
B1,2,2,100,lam=100,380,189,2022-05-22,2022-08-05,1.0380367249711566,0.22159237167631338,0.49206349206349204,29
B1,2,3,100,lam=100,569,191,2023-01-19,2023-01-21,0.98597858623592038,0.1994478559774088,0.53926701570680624,4
B1,2,1,300,lam=300,190,190,2022-01-02,2022-01-03,0.98005370453089002,0.2098764675715272,0.56315789473684208,29
B1,2,2,300,lam=300,380,189,2022-05-22,2022-08-05,1.0196097462189662,0.2178971398423778,0.50264550264550267,29
B1,2,3,300,lam=300,569,191,2023-01-19,2023-01-21,0.97517343236896747,0.19794611003981219,0.53403141361256545,4
B1,2,1,1000,lam=1000,190,190,2022-01-02,2022-01-03,0.99090256932837828,0.21379310367852047,0.56315789473684208,29
B1,2,2,1000,lam=1000,380,189,2022-05-22,2022-08-05,1.0144966743552388,0.21734002741924474,0.50793650793650791,29
B1,2,3,1000,lam=1000,569,191,2023-01-19,2023-01-21,0.97292187625869186,0.19813832184019733,0.56020942408376961,4
B1,2,1,3000,lam=3000,190,190,2022-01-02,2022-01-03,1.0197820058083731,0.22409402968088327,0.52631578947368418,29
B1,2,2,3000,lam=3000,380,189,2022-05-22,2022-08-05,1.0229236202228393,0.22051107622411742,0.52380952380952384,29
B1,2,3,3000,lam=3000,569,191,2023-01-19,2023-01-21,0.98542094433674654,0.20245074077921837,0.56020942408376961,4
B1,2,1,10000,lam=10000,190,190,2022-01-02,2022-01-03,1.0448240877611634,0.23318413159394724,0.44210526315789472,29
B1,2,2,10000,lam=10000,380,189,2022-05-22,2022-08-05,1.0385247649389306,0.2261619675229925,0.47619047619047616,29
B1,2,3,10000,lam=10000,569,191,2023-01-19,2023-01-21,1.0127136836791413,0.21226982131874017,0.52356020942408377,4
B1,3,1,100,lam=100,285,284,2022-03-18,2022-03-19,1.009604790201754,0.21327905388631441,0.50704225352112675,29
B1,3,2,100,lam=100,569,286,2023-01-19,2023-01-21,0.98302702349299897,0.19942715948798956,0.54895104895104896,4
B1,3,3,100,lam=100,855,285,2023-10-28,2023-10-29,0.96650238659846499,0.20017919620619246,0.56842105263157894,4
B1,3,1,300,lam=300,285,284,2022-03-18,2022-03-19,0.99692715525388265,0.21102641336392722,0.52464788732394363,29
B1,3,2,300,lam=300,569,286,2023-01-19,2023-01-21,0.96861487122589507,0.19741310579945656,0.55944055944055948,4
B1,3,3,300,lam=300,855,285,2023-10-28,2023-10-29,0.96144469061583004,0.19905109349107772,0.57543859649122808,4
B1,3,1,1000,lam=1000,285,284,2022-03-18,2022-03-19,1.0005265888342414,0.21316136684777115,0.51760563380281688,29
B1,3,2,1000,lam=1000,569,286,2023-01-19,2023-01-21,0.96758812347986345,0.1983214443970473,0.57342657342657344,4
B1,3,3,1000,lam=1000,855,285,2023-10-28,2023-10-29,0.96190190100870143,0.19954224717418728,0.57192982456140351,4
B1,3,1,3000,lam=3000,285,284,2022-03-18,2022-03-19,1.0181397795703349,0.2197034488011354,0.52464788732394363,29
B1,3,2,3000,lam=3000,569,286,2023-01-19,2023-01-21,0.98313325153440978,0.20394290446091368,0.57692307692307687,4
B1,3,3,3000,lam=3000,855,285,2023-10-28,2023-10-29,0.97243578729598035,0.20315972403327573,0.57192982456140351,4
B1,3,1,10000,lam=10000,285,284,2022-03-18,2022-03-19,1.0391985295811901,0.22750347835465595,0.5140845070422535,29
B1,3,2,10000,lam=10000,569,286,2023-01-19,2023-01-21,1.0134236953069988,0.21503419423272341,0.52097902097902093,4
B1,3,3,10000,lam=10000,855,285,2023-10-28,2023-10-29,0.99922184741133235,0.21271586561755784,0.53333333333333333,4
B1,4,1,100,lam=100,380,380,2022-05-22,2022-08-05,1.0011196832756624,0.20846999908575736,0.52105263157894732,29
B1,4,2,100,lam=100,760,380,2023-05-28,2023-08-11,0.96799470988445513,0.19946429452211351,0.56315789473684208,4
B1,4,3,100,lam=100,1140,380,2024-05-19,2024-08-16,1.0110872570089848,0.20878966826336315,0.49473684210526314,4
B1,4,1,300,lam=300,380,380,2022-05-22,2022-08-05,0.99320139034463117,0.20737505212259238,0.52894736842105261,29
B1,4,2,300,lam=300,760,380,2023-05-28,2023-08-11,0.96041741636366496,0.198265159319682,0.55789473684210522,4
B1,4,3,300,lam=300,1140,380,2024-05-19,2024-08-16,1.0039641852174856,0.20700988933629375,0.50526315789473686,4
B1,4,1,1000,lam=1000,380,380,2022-05-22,2022-08-05,0.99702331407554512,0.20914014692326452,0.52894736842105261,29
B1,4,2,1000,lam=1000,760,380,2023-05-28,2023-08-11,0.96192435421216493,0.1994766292138806,0.5736842105263158,4
B1,4,3,1000,lam=1000,1140,380,2024-05-19,2024-08-16,1.001736754926039,0.20658407426386546,0.50526315789473686,4
B1,4,1,3000,lam=3000,380,380,2022-05-22,2022-08-05,1.0123609624210177,0.21448846361105406,0.53157894736842104,29
B1,4,2,3000,lam=3000,760,380,2023-05-28,2023-08-11,0.97514152375201202,0.20431490208336942,0.57894736842105265,4
B1,4,3,3000,lam=3000,1140,380,2024-05-19,2024-08-16,1.0088330058654231,0.20888987285896968,0.49473684210526314,4
