arm,fold,team,parameter,refits,mean_abs_change,mean_level,relative_change
goals,1,Bournemouth,defence,115,0.041670163066054866,1.4630509842220851,0.028481688960560178
goals,1,Fulham,attack,115,0.046513909384558377,1.2594623706305235,0.036931559425052267
goals,1,Fulham,defence,115,0.033143662959428943,1.0878956219522629,0.030465848276833397
goals,1,Nottingham,attack,115,0.023267686461782611,0.66925331898495288,0.03476663589367384
goals,1,Nottingham,defence,115,0.041814444336239223,1.3699929972439004,0.030521648227662422
sot,1,Bournemouth,attack,115,0.013214753337477438,0.7881218082300081,0.016767399657618406
sot,1,Bournemouth,defence,115,0.065499058574775115,4.3634433384954407,0.015010864927917191
sot,1,Fulham,attack,115,0.01926505502615199,1.0096721202637968,0.019080506076684194
sot,1,Fulham,defence,115,0.085189446111498882,4.3539775992114595,0.019565889849072118
sot,1,Nottingham,attack,115,0.014457373595148424,0.75420169225212164,0.019169107870836595
sot,1,Nottingham,defence,115,0.081648818581180657,4.6713497216806665,0.017478635393584897
goals,2,Arsenal,attack,120,0.020937580402548096,1.6491385450817115,0.01269607120941478
goals,2,Arsenal,defence,120,0.015558459686693119,0.79745961844312208,0.019510028253302471
goals,2,Aston Villa,attack,120,0.018811762598149168,1.3651333550358014,0.013780164793977817
goals,2,Aston Villa,defence,120,0.017939603003961597,1.0262396876128828,0.017480909402062376
goals,2,Bournemouth,attack,120,0.014530937553989293,0.91965146263236619,0.015800483274823088
goals,2,Bournemouth,defence,120,0.019619210776803755,1.3813553116487194,0.014202870623769641
goals,2,Brentford,attack,120,0.015341772307861013,1.0874188759409298,0.014108429278998833
goals,2,Brentford,defence,120,0.018583844368929812,1.1371480905928955,0.016342501493574524
goals,2,Brighton,attack,120,0.019319941194975446,1.3360505786364565,0.014460486379709477
goals,2,Brighton,defence,120,0.01793724886986563,1.2449096345678725,0.01440847461678769
goals,2,Burnley,attack,120,0.021476922957731598,0.72817213947431658,0.029494293716368025
goals,2,Burnley,defence,120,0.03370220369581519,1.5913293380282643,0.021178647870323239
goals,2,Chelsea,attack,120,0.017788500513258258,1.117964114957164,0.01591151296832085
goals,2,Chelsea,defence,120,0.017434117574071203,1.1940054490874203,0.014601371867604221
goals,2,Crystal Palace,attack,120,0.013924176409875189,0.85749417689308394,0.016238216870843328
goals,2,Crystal Palace,defence,120,0.019457071738113257,1.1587982204849361,0.016790733187328183
goals,2,Everton,attack,120,0.013996001696443378,0.77834505515830754,0.017981744219595166
goals,2,Everton,defence,120,0.020885064442607133,1.1207564156946896,0.01863479356454251
